stop_transit_point_key,stopName,stop_latitude,stop_longitude
10,EB CENTRAL BLVD AT WILLINGDON AV,49.22727,"-123.00697"
100,SB VICTORIA DR AT NEWPORT AV,49.21508,"-123.0661"
10000,WB DUNN AV AT MAPLE MEADOWS LOOP,49.21802,"-122.6667"
10001,FLAGSTOP SB ON 11 ST AT 1200 BLOCK,49.33613,"-123.14594"
10002,VANCOUVER CITY CTR STN SOUTHBOUND,49.28246,"-123.11828"
10005,FLAGSTOP WB BURLEY DR AT 800 BLOCK,49.3364,"-123.13931"
10006,FLAGSTOP WB INGLEWOOD AT TAYLOR WAY,49.3345,"-123.13556"
10007,SB TAYLOR WAY AT MARINE DR,49.32739,"-123.1351"
10008,YALETOWN-ROUNDHOUSE STN NORTHBOUND,49.2745,"-123.12201"
10009,FLAGSTOP EB STEVENS DR AT 400 BLOCK,49.34168,"-123.12862"
1001,EB ADANAC ST AT SKEENA ST,49.27738,"-123.02909"
10011,FLAGSTOP EB STEVENS DR AT 500 BLOCK,49.34117,"-123.13211"
10012,SB STEVENS DR AT TAYLOR WAY,49.34116,"-123.13437"
10013,OLYMPIC VILLAGE STATION NORTHBOUND,49.26655,"-123.11552"
10014,FLAGSTOP SB ON 11 ST AT 1000 BLOCK,49.33427,"-123.14596"
10015,FLAGSTOP SB ON 11 ST AT 800 BLOCK,49.33215,"-123.14598"
10016,FLAGSTOP EB SOUTHBOROUGH AT WESTCOT,49.34106,"-123.13653"
10017,FLAGSTOP WB MATHERS AV AT 1000BLOCK,49.33814,"-123.14351"
10018,FLAGSTOP EB EYREMOUNT AT 700 BLOCK,49.34465,"-123.13511"
10019,VANCOUVER CITY CTR STN NORTHBOUND,49.28235,"-123.11814"
1002,NB OAK ST AT W KING EDWARD AV,49.24963,"-123.12735"
10020,WB CROSS CREEK RD AT EYREMOUNT DR,49.34613,"-123.14314"
10021,WB EYREMOUNT DR AT 700 BLOCK,49.3449,"-123.13767"
10022,FLAGSTOP SB CHARTWELL AT 1200 BLOCK,49.34619,"-123.14799"
10023,FLAGSTOP EB INGLEWOOD AT 1400 BLOCK,49.3345,"-123.15635"
10024,FLAGSTOP SB CHARTWELL AT BRAMWELL,49.34831,"-123.15117"
10025,FLAGSTOP SB CRESTWELL AT EYREMOUNT,49.35398,"-123.14641"
10026,FLAGSTOP WB EYREMOUNT AT HIGHLAND,49.35377,"-123.14253"
10027,FLAGSTOP WB EYREMOUNT AT HILLSIDE,49.35427,"-123.13935"
10028,FLAGSTOP NB ON 27 ST AT 1400 BLOCK,49.33778,"-123.18872"
10029,FLAGSTOP SB EYREMOUNT AT 1000 BLOCK,49.35022,"-123.13784"
1003,NB CAMBIE ST AT W 18 AV,49.25515,"-123.11501"
10030,WB SOUTHBOROUGH DR AT BIDDESDEN PL,49.34332,"-123.13853"
10031,FLAGSTOP NB EYREMOUNT AT KING GEORG,49.34808,"-123.1356"
10032,EB EYREMOUNT DR AT KENWOOD RD,49.35183,"-123.13334"
10033,FLAGSTOP NB EYREMOUNT AT FAIRMILE,49.34696,"-123.13788"
10034,FLAGSTOP WB FAIRMILE AT SOUTHBOROUG,49.34659,"-123.13179"
10035,FLAGSTOP SB STHBOROUGH AT KNOCKMARO,49.34886,"-123.13012"
10036,FLAGSTOP EB STEVENS DR AT 300 BLOCK,49.34612,"-123.12309"
10037,FLAGSTOP NB STEVENS DR AT 200 BLOCK,49.35107,"-123.12041"
10038,FLAGSTOP NB STEVENS DR AT 100 BLOCK,49.35715,"-123.12099"
10039,NB BONNYMUIR DR AT GLENMORE DR,49.36025,"-123.12349"
1004,NB WEST BLVD AT W 41 AV,49.2349,"-123.15542"
10040,FLAGSTOP NB BONNYMUIR AT UNIT BLOCK,49.36333,"-123.12285"
10041,FLAGSTOP WB SNT ANDREWS AT BONNEYMU,49.36341,"-123.12613"
10042,FLAGSTOP SB SNT ANDREWS AT 500BLOCK,49.36184,"-123.12873"
10043,FLAGSTOP SB SNT ANDREWS AT 600BLOCK,49.35824,"-123.13043"
10044,FLAGSTOP NB EYREMOUNT AT ELVEDEN,49.35344,"-123.13803"
10045,FLAGSTOP SB SNT ANDREWS AT 700BLOCK,49.35561,"-123.13218"
10047,FLAGSTOP EB KENWOOD AT ROBIN HOOD,49.35485,"-123.13042"
10048,FLAGSTOP SB ROBIN HOOD AT KING GEO,49.3524,"-123.13057"
10049,NB ROBIN HOOD RD AT KENWOOD RD,49.35479,"-123.12976"
10050,FLAGSTOP WB FULTON AV AT 14 ST,49.33157,"-123.15475"
